trade_id,entry_time,exit_time,direction,entry_price,exit_price,pnl_pips,pnl_dollars,exit_reason,session,day_of_week,prior_4h_direction,atr_at_entry,holding_bars,sample
T2780,2020-06-11 14:00:00,2020-06-11 21:00:00,SHORT,1.12995,1.1288,11.499999999999844,6.405499999999913,time_stop,NY,Thursday,BEAR,0.002499464838773276,7,IS
T2800,2020-06-12 10:00:00,2020-06-14 17:00:00,SHORT,1.1245100000000001,1.12422,2.900000000001235,1.8560000000007904,time_stop,LONDON,Friday,BEAR,0.0023630861407546158,55,IS
T2828,2020-06-15 14:00:00,2020-06-15 21:00:00,LONG,1.13161,1.13281,12.000000000000899,11.76000000000088,time_stop,NY,Monday,BULL,0.0021930962116427336,7,IS
T2847,2020-06-16 09:00:00,2020-06-16 16:00:00,SHORT,1.12687,1.12631,5.60000000000116,5.11840000000106,time_stop,LONDON,Tuesday,BEAR,0.0020759498890134177,7,IS
T2895,2020-06-18 09:00:00,2020-06-18 16:00:00,SHORT,1.12113,1.12055,5.800000000000249,5.730400000000246,time_stop,LONDON,Thursday,BEAR,0.0017642577097111115,7,IS
T2944,2020-06-22 10:00:00,2020-06-22 17:00:00,LONG,1.12496,1.12624,12.799999999999478,12.838399999999476,time_stop,LONDON,Monday,BULL,0.0016558262100256275,7,IS
T2973,2020-06-23 15:00:00,2020-06-23 22:00:00,SHORT,1.1301700000000001,1.13178,-16.099999999998893,-26.45229999999818,time_stop,NY,Tuesday,BEAR,0.0016618718280768034,7,IS
T2991,2020-06-24 09:00:00,2020-06-24 16:00:00,SHORT,1.12654,1.12503,15.100000000001224,15.371800000001246,time_stop,LONDON,Wednesday,BEAR,0.0016106185912018733,7,IS
T3040,2020-06-26 10:00:00,2020-06-28 17:00:00,SHORT,1.12019,1.12231,-21.199999999998997,-32.54199999999846,time_stop,LONDON,Friday,BEAR,0.0014827864801213566,55,IS
T3088,2020-06-30 10:00:00,2020-06-30 17:00:00,LONG,1.1233899999999999,1.12314,-2.4999999999986144,-2.704999999998501,time_stop,LONDON,Tuesday,BULL,0.0016520767615121556,7,IS
T3117,2020-07-01 15:00:00,2020-07-01 22:00:00,SHORT,1.12494,1.12603,-10.900000000000354,-28.15470000000091,time_stop,NY,Wednesday,BEAR,0.0015910198711706865,7,IS
T3136,2020-07-02 10:00:00,2020-07-02 17:00:00,SHORT,1.12279,1.12384,-10.499999999999954,-7.034999999999969,time_stop,LONDON,Thursday,BEAR,0.0017039037673358581,7,IS
T3231,2020-07-08 09:00:00,2020-07-08 16:00:00,LONG,1.1330799999999999,1.13293,-1.4999999999987246,-1.2704999999989197,time_stop,LONDON,Wednesday,BULL,0.0014903919067805207,7,IS
T3279,2020-07-10 09:00:00,2020-07-10 16:00:00,LONG,1.13084,1.1299,-9.40000000000163,-12.398600000002148,time_stop,LONDON,Friday,BULL,0.00137985261908433,7,IS
T3309,2020-07-13 15:00:00,2020-07-13 22:00:00,SHORT,1.13484,1.13387,9.700000000001374,16.771300000002377,time_stop,NY,Monday,BEAR,0.0014331496096899564,7,IS
T3327,2020-07-14 09:00:00,2020-07-14 16:00:00,LONG,1.13909,1.13993,8.40000000000174,13.885200000002875,time_stop,LONDON,Tuesday,BULL,0.0014777632400755115,7,IS
T3375,2020-07-16 09:00:00,2020-07-16 13:00:00,LONG,1.1430099999999999,1.1382199999999998,-47.900000000000716,-61.40780000000092,stop_loss,LONDON,Thursday,BULL,0.0014700077623381064,4,IS
T3399,2020-07-17 09:00:00,2020-07-17 16:00:00,LONG,1.14319,1.14269,-4.999999999999449,-14.199999999998434,time_stop,LONDON,Friday,BULL,0.0013644312374436396,7,IS
